名称,営業日,住所,アクセス
和牛肉寿司 肉割烹 よしにく,月～日、祝日、祝前日: 12:00～15:0016:00～23:30 （料理L.O. 22:30 ドリンクL.O. 23:00）,東京都渋谷区恵比寿１-12-5　第3萩原ビル3F,ＪＲ 恵比寿駅 東口 徒歩3分/地下鉄日比谷線 恵比寿駅 1番出口 徒歩4分https://g.page/yoshiniku
京レストラン Ubcra ウブクラ,月～木: 16:00～翌1:00 （料理L.O. 翌0:00 ドリンクL.O. 翌0:30）金、土、祝日: 16:00～翌4:00 （料理L.O. 翌3:00 ドリンクL.O. 翌3:30）祝前日: 15:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:00）,東京都渋谷区恵比寿西１‐3‐11,JR恵比寿駅　西口　徒歩3分/地下鉄日比谷線恵比寿駅　2番出口　徒歩2分/東急東横線代官山駅　徒歩7分
Zu HoBAR ズーホバー 渋谷,月～日: 18:00～翌1:00 （料理L.O. 23:00 ドリンクL.O. 翌0:30）,東京都渋谷区道玄坂２-25-7　道玄坂プラザ3Ｆ,東京メトロ，東急渋谷駅３ａ出口より徒歩約5分/１０９を左手に進み文化村通り直進しスタバの手前のビル３Ｆ
炭火焼き鳥 鳥ごころ 渋谷本店,月～日、祝日、祝前日: 12:00～23:30 （料理L.O. 23:00 ドリンクL.O. 23:00）,東京都渋谷区道玄坂２-２８-２-５Ｆ,【渋谷駅徒歩3分】夜景個室居酒屋×焼き鳥&肉寿司食べ放題
cafe&dining nurikabe ヌリカベ,月～日: 12:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:30）,東京都渋谷区恵比寿南３-1-2　サウスビル4Ｆ,ＪＲ 恵比寿駅 西口 徒歩3分/地下鉄日比谷線 恵比寿駅 5番出口 徒歩1分 
格安ビールと鉄鍋餃子 3 6 5酒場 渋谷宮益坂店,月～日: 15:00～23:30 （料理L.O. 22:45 ドリンクL.O. 23:00）,東京都渋谷区渋谷１－１２－１　カレイド渋谷宮益坂6F ,渋谷駅東口を出て、宮益坂をのぼり1本目の道を左に曲がってT字路のつき当たりを右に！ビル6F 
渋谷 Grill Lust グリルラスト,月～日、祝日、祝前日: 18:00～翌5:00 （料理L.O. 翌4:00 ドリンクL.O. 翌4:30）,東京都渋谷区道玄坂２-23-18 渋谷デリタワービル 8階,東京メトロ，東急渋谷駅Ａ２出口より徒歩約6分
完全個室居酒屋 大将 渋谷店,月～日、祝日、祝前日: 11:00～16:0016:30～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:00）,東京都渋谷区宇田川町25-2 でんえんビル1.２F,渋谷駅徒歩２分【センター街すぐそこ】
くいもの屋 わん 渋谷スペイン坂店,月～日、祝日、祝前日: 17:00～翌1:00 （料理L.O. 翌0:30 ドリンクL.O. 翌0:30）,東京都渋谷区宇田川町13-7コヤスビル5階,JR渋谷駅ハチ公口　徒歩5分　渋谷宇田川交番すぐ
炭火焼き鳥食べ放題 個室居酒屋 BONE 渋谷店,月～日、祝日、祝前日: 12:00～翌5:00,東京都渋谷区宇田川町31-9-501,渋谷駅徒歩2分（個室居酒屋 焼き鳥 野菜巻き食べ放題）
ROOF TOP YEBISU TERRACE ルーフトップ恵比寿テラス,月、火、木: 16:00～翌5:00 （料理L.O. 翌4:00 ドリンクL.O. 翌4:30）水、金～日、祝日: 11:00～翌5:00 （料理L.O. 翌4:00 ドリンクL.O. 翌4:30）,東京都渋谷区恵比寿西１-7-3 恵比寿グルマンビル 6F,JR恵比寿駅西口徒歩1分/地下鉄日比谷線恵比寿駅2番出口徒歩1分/東急東横線代官山駅徒歩9分
いいとこ鷄 渋谷店,月～日、祝日、祝前日: 11:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:30）,東京都渋谷区宇田川町26番3号　サンルイビル5F,"JR渋谷駅徒歩3分地鶏の炭火焼鳥食べ放題2,980円~"
兜 奥座,月～日、祝日、祝前日: 11:00～翌5:00 （料理L.O. 翌4:00 ドリンクL.O. 翌4:30）,東京都渋谷区恵比寿西１－１３－９　グランビル恵比寿ビルB1F,恵比寿駅徒歩3分/恵比寿から200m
シュラスコレストラン ALEGRIA Shinjuku アレグリア 新宿,月～金: 17:00～22:00 （料理L.O. 22:00 ドリンクL.O. 22:00）土、日: 11:30～15:00 （料理L.O. 14:30 ドリンクL.O. 14:30）16:00～22:00 （料理L.O. 22:00 ドリンクL.O. 22:00）祝日: 11:30～15:00 （料理L.O. 14:00 ドリンクL.O. 14:00）16:00～22:00 （料理L.O. 22:00 ドリンクL.O. 22:00）,東京都渋谷区千駄ヶ谷５-30-10　2F,★美味しいお肉食べ放題★　代々木駅東口 徒歩3分　新宿新南口徒歩6分　新宿三丁目駅徒歩7分 （シュラスコレストラン）
格安ビールと鉄鍋餃子 3 6 5酒場 渋谷スペイン坂店,月～日、祝日、祝前日: 17:00～翌4:30,東京都渋谷区宇田川町13-7　小安ビル６階,渋谷駅ハチ公口 徒歩5分/井の頭線渋谷駅 徒歩2分/半蔵門線渋谷駅 徒歩2分[井の頭通り沿いのスペイン坂入口6F]
兜 恵比寿,月～日、祝日、祝前日: 16:00～翌5:00 （料理L.O. 翌4:00 ドリンクL.O. 翌4:00）,東京都渋谷区恵比寿西１－５－５,恵比寿駅徒歩3分/恵比寿から200m
LUCE ルーチェ,月～日、祝日、祝前日: 15:00～翌5:00 （料理L.O. 翌4:30 ドリンクL.O. 翌4:30）,東京都渋谷区道玄坂１-13-2宝ビル2階,【サプライズ＆映像、音響もお任せ】マークシティ徒歩1分☆井の頭線西口⇒ダイソーさん側の道路⇒坂少し上ってすぐ☆
0秒レモンサワー 仙台ホルモン焼肉酒場 ときわ亭 渋谷店,月～金: 16:30～23:30 （料理L.O. 22:30 ドリンクL.O. 23:00）土、日、祝日: 14:30～23:30 （料理L.O. 22:30 ドリンクL.O. 23:00）,東京都渋谷区道玄坂１-5-5 藤木ビル2F,●京王井の頭線「渋谷駅」西口より徒歩30秒●JR「渋谷駅」ハチ公口より徒歩5分
とろさば料理専門店 SABAR 渋谷店,月～土、祝日: 17:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:30）,東京都渋谷区渋谷３丁目27-11 GEMS渋谷6F,渋谷駅から徒歩1分
本格中華料理 座 撒椒 ザ サンショウ 渋谷店,月～土: 11:00～15:00 （料理L.O. 14:30 ドリンクL.O. 14:30）17:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:00）,東京都渋谷区宇田川町3-1 渋谷東武ホテルB1,渋谷駅徒歩5分　渋谷パルコすぐ
個室居酒屋 楽楽 渋谷店,月～日、祝日、祝前日: 12:00～翌0:00,東京都渋谷区道玄坂２－２８－２　ＭＭビル３Ｆ,渋谷駅徒歩3分（炭火焼き鳥が食べ放題の個室居酒屋）
楽蔵 うたげ 渋谷駅前店,月～日、祝日、祝前日: 17:00～23:30 （料理L.O. 22:30 ドリンクL.O. 23:00）,東京都渋谷区渋谷１-24-12 渋谷東映プラザビル6Ｆ,JR 渋谷駅東口徒歩1分／地下鉄渋谷駅10番出口徒歩1分／銀座線・半蔵門線・副都心線渋谷駅宮益坂口出口 徒歩1分
ネオ韓国居酒屋 青龍樹 セイリュウキ 渋谷店,月～木、日: 17:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:00）金、土: 17:00～翌3:00 （料理L.O. 翌2:00 ドリンクL.O. 翌2:00）,東京都渋谷区宇田川町１３－１６　A館3F,東京メトロ，東急渋谷駅Ａ３ｂ出口徒歩約5分/京王井の頭線渋谷駅井の頭線出口徒歩約8分/ＪＲ渋谷駅宮益坂口徒歩約9分
